020;Молоко 1,5% фас.плівка.;1;1;6.8833;30;
030;Молоко 2,5% фас.плівка;1;1;7.65;195;
011;Молоко 2,6 % фас.п/пак;1;1;9.45;7;
090;Молоко пряжене п/пак;1;1;5.95;6;
130;Кефір 2.5% 1л;1;1;9.2;20;
120;Кефір класичний п/п 0,5л;1;1;6.45;2;
140;Закваска "Обухівська"2,5% п/п 0,5л;1;1;5.8;2;
110;Ряжанка 2,5% п/п 500г.;1;1;6.35;20;
222;Сметана 15% пл 450 гр;1;1;9.85;40;
221;Сметана 20% пл 450гр;1;1;10.625;70;
230;Сметана 15% ст 450г;1;1;10.1917;2;
240;Сметана 20 % ст 450г;1;1;10.9667;2;
270;Сметана 15% 220г;1;1;5.8;10;
250;Сметана 20%ст 220гр;1;1;6.5333;8;
307;Сир к/м"Обухівський" н/ж вакуум.;1;1;41.65;4;
313;Сир н/ж фас,200 г;1;1;8.1;10;
314;Сир  5% фас,200 г;1;1;9.15;15;
330;Сирок з родзинками;1;1;5.3;5;
340;Сирок ванільний;1;1;5.3;8;
341;Сирок з курагою;1;1;5.3;5;
171;Йогурт 2,5% Персик п/п;1;1;7;5;
170;Йогурт 2,5% Полуниця п/п;1;1;7;7;
800;Масло"Селянське"фас.72,5%;1;1;14.5;15;